,Unnamed: 0,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title,title,rating,year,users_rating,votes,metascore,img_url,countries,languages,actors,genre,tagline,description,directors,runtime,imdb_url
4,4,"About a Boy (1998), Nick Hornby",About a Boy (2002),1998,About a Boy,Nick Hornby,4271.0,2002,About a Boy,About a Boy,PG-13,2002,7.1,"157,725",75,"https://m.media-amazon.com/images/M/MV5BMTQ2Mzg4MDAzNV5BMl5BanBnXkFtZTgwMjcxNTYxMTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['UK', 'USA', 'France', 'Germany']",['English'],"['Hugh Grant', 'Nicholas Hoult', 'Sharon Small', 'Madison Cook', 'Jordan Cook', 'Nicholas Hutchison', 'Ryan Speechley', 'Joseph Speechley', 'Toni Collette', 'Natalia Tena', 'Laura Kennington', 'Tanika Swaby', 'Peter McNicholl', 'Chris Webster', 'Ben Ridgeway']","['Comedy', 'Drama', 'Romance']",Growing up has nothing to do with age.,"A cynical, immature young man is taught how to act like a grown-up by a little boy.","['Chris Weitz', 'Paul Weitz']",101 min,https://www.imdb.com/title/tt0276751/
5,5,"About Schmidt (1996), Louis Begley",About Schmidt (2002),1996,About Schmidt,Louis Begley,908745.0,2002,About Schmidt,About Schmidt,R,2002,7.2,"115,953",85,"https://m.media-amazon.com/images/M/MV5BMTYxOTAyNjEzNV5BMl5BanBnXkFtZTcwMTAxMDAwMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Jack Nicholson', 'Kathy Bates', 'Hope Davis', 'Dermot Mulroney', 'June Squibb', 'Howard Hesseman', 'Harry Groener', 'Connie Ray', 'Len Cariou', 'Mark Venhuizen', 'Cheryl Hamada', 'Phil Reeves', 'Matt Winston', 'James M. Connor', 'Jill Anderson']","['Comedy', 'Drama']",Schmidt Happens,"A man upon retirement, embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",['Alexander Payne'],125 min,https://www.imdb.com/title/tt0257360/
6,6,"Absolute Power (1996), David Baldacci",Absolute Power (1997),1996,Absolute Power,David Baldacci,15159.0,1997,Absolute Power,Absolute Power,R,1997,6.7,"45,178",52,"https://m.media-amazon.com/images/M/MV5BNDFlNTZmOGYtYmE0ZC00OTE4LWI5YzctNmZmZDU3M2ZiMmI4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Spanish']","['Clint Eastwood', 'Gene Hackman', 'Ed Harris', 'Laura Linney', 'Scott Glenn', 'Dennis Haysbert', 'Judy Davis', 'E.G. Marshall', 'Melora Hardin', 'Kenneth Welsh', 'Penny Johnson Jerald', 'Richard Jenkins', 'Mark Margolis', 'Elaine Kagan', 'Alison Eastwood']","['Action', 'Crime', 'Drama', 'Thriller']",Corrupts Absolutely.,A career thief witnesses a horrific crime involving the U.S. President.,['Clint Eastwood'],121 min,https://www.imdb.com/title/tt0118548/
7,7,"The Accidental Tourist (1985), Anne Tyler",The Accidental Tourist (1988),1985,The Accidental Tourist,Anne Tyler,60792.0,1988,The Accidental Tourist,The Accidental Tourist,PG,1988,6.8,"13,675",53,"https://m.media-amazon.com/images/M/MV5BZWI3MzgyODctODM3NS00YTYxLThjZjAtYzdjOGIzZWQyZmIzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['William Hurt', 'Kathleen Turner', 'Geena Davis', 'Amy Wright', 'David Ogden Stiers', 'Ed Begley Jr.', 'Bill Pullman', 'Robert Hy Gorman', 'Bradley Mott', 'Seth Granger', 'Amanda Houck', 'Caroline Houck', 'London Nelson', 'Gregory Gouyer', 'Bill Lee Brown']","['Drama', 'Romance']",,An emotionally distant writer of travel guides must carry on with his life after his son is killed and his marriage crumbles.,['Lawrence Kasdan'],121 min,https://www.imdb.com/title/tt0094606/
8,8,"Across 110th (1970), Wally Ferris",Across 110th Street (1972),1970,Across 110th,Wally Ferris,6916657.0,1972,Across 110th Street,Across 110th Street,R,1972,7.0,"4,207",,"https://m.media-amazon.com/images/M/MV5BMjAwY2U5ZmYtNzllNS00YWM0LTlmZWEtZjkxZDJhY2FkMWRlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Frank Adu', 'Frank Arno', 'Joseph Attles', 'Paul Benjamin', 'Ed Bernard', 'Tina Beyer', 'Gerry Black', 'Samual Blue Jr.', 'Norman Bush', 'Anthony C. Cannon', 'Maria Carey', 'Anthony Charnota', 'Dick Crockett', 'Keith Davis', 'George DiCenzo']","['Action', 'Crime', 'Drama', 'Thriller']","If you steal $300,000 from the mob, it's not robbery. It's suicide.",Two New York City cops go after amateur crooks who are trying to rip off the Mafia and start a gang war.,['Barry Shear'],102 min,https://www.imdb.com/title/tt0068168/
10,10,"Adams Fall (2000), Sean Desmond",Abandon (2002),2000,Adams Fall,Sean Desmond,1171639.0,2002,Abandon,Abandon,PG-13,2002,4.9,"8,669",36,"https://m.media-amazon.com/images/M/MV5BMTI3OTg4MTk2NF5BMl5BanBnXkFtZTYwNDQ0Njc2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['USA', 'Germany', 'Canada']","['English', 'Italian']","['Katie Holmes', 'Benjamin Bratt', 'Charlie Hunnam', 'Zooey Deschanel', 'Fred Ward', 'Mark Feuerstein', 'Melanie Lynskey', 'Philip Bosco', 'Gabriel Mann', 'Will McCormack', 'Gabrielle Union', 'Greg Kramer', 'Gillian Ferrabee', 'Barry Julien', 'Tony Goldwyn']","['Drama', 'Music', 'Mystery', 'Romance', 'Thriller']",Watch who you leave behind.,An investigation of a college student's missing boyfriend becomes quite strange when she begins to see him periodically.,['Stephen Gaghan'],99 min,https://www.imdb.com/title/tt0267248/
11,11,"Addie Pray (1971), Joe David Brown",Paper Moon (1973),1971,Addie Pray,Joe David Brown,790338.0,1973,Paper Moon,Paper Moon,PG,1973,8.1,"36,657",77,"https://m.media-amazon.com/images/M/MV5BOWVmYzQwY2MtOTBjNi00MDNhLWI5OGMtN2RiMDYxODI3MjU5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"[""Ryan O'Neal"", ""Tatum O'Neal"", 'Madeline Kahn', 'John Hillerman', 'P.J. Johnson', 'Jessie Lee Fulton', 'James N. Harrell', 'Lila Waters', 'Noble Willingham', 'Bob Young', 'Jack Saunders', 'Jody Wilbur', 'Liz Ross', 'Yvonne Harrison', 'Ed Reed']","['Comedy', 'Drama']",These aren't everyday people and this is no ordinary movie.,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",['Peter Bogdanovich'],102 min,https://www.imdb.com/title/tt0070510/
14,14,"Adventure (1911), Jack London",Adventure (1925),1911,Adventure,Jack London,,1925,Adventure,Adventure,,1925,5.5,22,,"https://m.media-amazon.com/images/M/MV5BMzhjNTBlNzItYmJkOC00OGQ2LWJhMzctZjFiMzNhMDVjMDI1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Tom Moore', 'Pauline Starke', 'Wallace Beery', 'Raymond Hatton', 'Walter McGrail', 'Duke Kahanamoku', 'James P. Spencer', 'Noble Johnson']","['Adventure', 'Drama']",,"David Sheldon owns a plantation in the Solomon Islands. Many of his field hands die of blackwater fever, and then he becomes sick himself. Joan Lackland, a female soldier of fortune, ...",['Victor Fleming'],70 min,https://www.imdb.com/title/tt0015542/
15,15,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),1966,The Adventurers,Harold Robbins,56649.0,1970,The Adventurers,The Adventurers,R,1970,5.4,570,,"https://m.media-amazon.com/images/M/MV5BMGEzZDg5YTUtMDBlYS00OGYzLWE0ZGQtOWU2ZjhlYzY1OWYwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Charles Aznavour', 'Alan Badel', 'Candice Bergen', 'Thommy Berggren', 'Delia Boccardo', 'Ernest Borgnine', 'Rossano Brazzi', 'Olivia de Havilland', 'Bekim Fehmiu', 'Anna Moffo', 'Fernando Rey', 'Leigh Taylor-Young', 'Yolande Donlan', 'John Ireland', 'Jorge Martínez de Hoyos']","['Action', 'Adventure', 'Drama', 'Romance', 'Thriller']","Nothing has been left out of ""The Adventurers""",The wealthy playboy son of an assassinated South American diplomat discovers that his father was really murdered on orders of the corrupt president of the country--a man who was his ...,['Lewis Gilbert'],171 min,https://www.imdb.com/title/tt0065374/
17,17,"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier",The Adventures of Hajji Baba (1954),1824,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,135064.0,1954,The Adventures of Hajji Baba,The Adventures of Hajji Baba,Approved,1954,6.1,382,,"https://m.media-amazon.com/images/M/MV5BNGViNTZiYjgtNTVkZi00ZDJiLWEwYmYtODM0NDU4YmIxNTAxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Albanian']","['John Derek', 'Elaine Stewart', 'Amanda Blake', 'Rosemarie Stack', 'Thomas Gomez', 'Paul Picerni', 'Donald Randolph']","['Action', 'Adventure', 'Romance']","The girls pronounce it ""Hotcha Baba!""","In Ispahan, Persia, Hajji Baba is leaving his father's shop to seek a greater fortune, while the Princess Fawzia is trying to talk her father, the Caliph into giving her in marriage to ...",['Don Weis'],94 min,https://www.imdb.com/title/tt0046683/
19,19,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1920),1884,Adventures of Huckleberry Finn,Mark Twain,2956.0,1920,Huckleberry Finn,Huckleberry Finn,,1920,6.5,66,,"https://m.media-amazon.com/images/M/MV5BOTY5ZjkwMTAtN2MxOC00M2Q1LThlZDUtOWQzZGI1NzhmOGFlXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Lewis Sargent', 'Katherine Griffith', 'Martha Mattox', 'Frank Lanning', 'Orral Humphrey', 'Tom Bates', 'Gordon Griffith', 'Edythe Chapman', 'Thelma Salter', 'George Reed', 'L.M. Wells', 'Harry L. Rattenberry', 'Esther Ralston', 'Fay Lemport', 'Eunice Murdock Moore']","['Comedy', 'Drama']",,In order to selfish with unsupervised to doorkeeper had choices to like Tom Sawyer doesn't hurt either.,['William Desmond Taylor'],84 min,https://www.imdb.com/title/tt0011313/
20,20,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1931),1884,Adventures of Huckleberry Finn,Mark Twain,2956.0,1931,Huckleberry Finn,Huckleberry Finn,,1931,6.3,61,,"https://m.media-amazon.com/images/M/MV5BMWU1N2VhYzktMDAzMi00OTZiLWFlYjktZDNkMThkZjkyZGRjXkEyXkFqcGdeQXVyMzk3NTUwOQ@@._V1_UY268_CR18,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Jackie Coogan', 'Junior Durkin', 'Mitzi Green', 'Jackie Searl', 'Eugene Pallette', 'Clarence Muse', 'Clara Blandick', 'Jane Darwell', 'Oscar Apfel', 'Warner Richmond', 'Charlotte Henry', 'Lillian Harmer', 'Guy Oliver']",['Comedy'],,Runaway Huck Finn rafts down the Mississippi with his friends.,['Norman Taurog'],80 min,https://www.imdb.com/title/tt0021981/
22,22,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1939),1884,Adventures of Huckleberry Finn,Mark Twain,2956.0,1939,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,Passed,1939,6.9,988,,"https://m.media-amazon.com/images/M/MV5BY2RkOGUzNmEtMWFhYi00MGE3LThhY2EtMDhlZmZmOGFjN2M4XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Mickey Rooney', 'Walter Connolly', 'William Frawley', 'Rex Ingram', 'Lynne Carver', 'Jo Ann Sayers', 'Minor Watson', 'Elisabeth Risdon', 'Victor Kilian', 'Clara Blandick']","['Adventure', 'Drama', 'Family']",,"To avoid his abusive father, a rambunctious boy rafts the Mississippi River with a slave, encountering many wild characters.",['Richard Thorpe'],91 min,https://www.imdb.com/title/tt0031020/
24,24,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1960),1884,Adventures of Huckleberry Finn,Mark Twain,2956.0,1960,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,Approved,1960,6.3,"1,195",,"https://m.media-amazon.com/images/M/MV5BMjI3YmVjMzAtNjZhYy00NDMwLWEzNzItMzJmMDdhZWI0NDdhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Tony Randall', 'Archie Moore', 'Eddie Hodges', 'Patty McCormack', 'Neville Brand', 'Mickey Shaughnessy', 'Judy Canova', 'Andy Devine', 'Sherry Jackson', 'Buster Keaton', 'Finlay Currie', 'Josephine Hutchinson', 'Parley Baer', 'John Carradine', 'Royal Dano']","['Adventure', 'Comedy', 'Drama', 'Family']","The most exciting adventures a boy ever had! Hilarious escapades, hair-raising adventures on the fabulous Mississippi!","Mark Twain's 1851 story about two runaway friends, a fostered white boy and an escaped black slave, who sailed on a raft down the Mississippi River in search of freedom and adventure.",['Michael Curtiz'],107 min,https://www.imdb.com/title/tt0053571/
25,25,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1974),1884,Adventures of Huckleberry Finn,Mark Twain,2956.0,1974,Huckleberry Finn,Huckleberry Finn,G,1974,5.5,480,,"https://m.media-amazon.com/images/M/MV5BYWQ1YjE4ZTItMWY3OC00M2U2LTliMzQtY2FhNjM0MTFjNDRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Jeff East', 'Paul Winfield', 'Harvey Korman', 'David Wayne', ""Arthur O'Connell"", 'Gary Merrill', 'Natalie Trundy', 'Lucille Benson', ""Kim O'Brien"", 'Jean Fay', 'Ruby Leftwich', 'Odessa Cleveland', 'Joe Boris', 'Danny Lantrip', 'Van Bennett']","['Adventure', 'Family', 'Musical']",A Musical Adaptation,When Huckleberry Finn going to find his father kidnapped to country will be never jobs to Mississippi River in the legendary land of Avalon.,['J. Lee Thompson'],118 min,https://www.imdb.com/title/tt0071634/
30,30,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Mark Twain (1985),1884,Adventures of Huckleberry Finn,Mark Twain,2956.0,1985,The Adventures of Mark Twain,The Adventures of Mark Twain,G,1985,7.5,"2,231",,"https://m.media-amazon.com/images/M/MV5BOGQ2YjBmZTktOTZmYi00MGQyLTllZWMtMDE4YWM3YzI0ZTY1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['James Whitmore', 'Michele Mariana', 'Gary Krug', 'Chris Ritchie', 'John Morrison', 'Carol Edelman', 'Dal McKennon', 'Herb Smith', 'Marley Stone', 'Wilbur Vincent', 'Wally Newman', 'Tim Conner', 'Todd Tolces', 'Billy Scream', 'Bob Griggs']","['Animation', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",Where dreams become reality.,"Tom Sawyer, Becky Thatcher and Huck Finn join Mark Twain on his airship to meet Halley's Comet.",['Will Vinton'],86 min,https://www.imdb.com/title/tt0088678/
32,32,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huck Finn (1993),1884,Adventures of Huckleberry Finn,Mark Twain,2956.0,1993,The Adventures of Huck Finn,The Adventures of Huck Finn,PG,1993,6.2,"7,093",,"https://m.media-amazon.com/images/M/MV5BN2U3MzY3YmItNTY1ZS00ZmJlLWFlYjUtMjc4MmMzOTM4ODZhXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'French']","['Elijah Wood', 'Courtney B. Vance', 'Robbie Coltrane', 'Jason Robards', 'Ron Perlman', 'Dana Ivey', 'Anne Heche', 'James Gammon', 'Paxton Whitehead', 'Tom Aldredge', 'Laura Bell Bundy', 'Curtis Armstrong', 'Mary Louise Wilson', 'Frances Conroy', 'Danny Tamberelli']","['Adventure', 'Comedy', 'Drama', 'Family']",For anyone who has ever dreamed of running away from it all.,"In Missouri, during the 1840s, young Huck Finn fearful of his drunkard father and yearning for adventure, leaves his foster family and joins with runaway slave Jim in a voyage down the Mississippi River toward slavery free states.",['Stephen Sommers'],108 min,https://www.imdb.com/title/tt0106223/
33,33,"Adventures of Huckleberry Finn (1884), Mark Twain",Tom and Huck (1995),1884,Adventures of Huckleberry Finn,Mark Twain,2956.0,1995,Tom and Huck,Tom and Huck,PG,1995,5.6,"8,782",,"https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Jonathan Taylor Thomas', 'Brad Renfro', 'Eric Schweig', 'Charles Rocket', 'Amy Wright', 'Michael McShane', 'Marian Seldes', 'Rachael Leigh Cook', 'Lanny Flaherty', 'Courtland Mead', 'Peter Mackenzie', 'Heath Lamberts', 'William Newman', 'Joey Stinson', 'Blake Heron']","['Adventure', 'Comedy', 'Drama', 'Family', 'Romance', 'Western']",The Original Bad Boys.,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,['Peter Hewitt'],97 min,https://www.imdb.com/title/tt0112302/
36,36,"The Adventures of Pinocchio (1883), Carlo Collodi",Pinocchio (1940),1883,The Adventures of Pinocchio,Carlo Collodi,6059070.0,1940,Pinocchio,Pinocchio,G,1940,7.5,"111,745",99,"https://m.media-amazon.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Jack Bailey', 'Mel Blanc', 'Don Brodie', 'Stuart Buchanan', 'Walter Catlett', 'Marion Darlington', 'Frankie Darro', 'Cliff Edwards', 'Dickie Jones', 'Charles Judels', 'John McLeish', 'Patricia Page', 'Christian Rub', 'Evelyn Venable']","['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Jiminy Cricket - what a show!,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","['Norman Ferguson', 'T. Hee', '5 more credits']",88 min,https://www.imdb.com/title/tt0032910/
39,39,"The Adventures of Pinocchio (1883), Carlo Collodi",Pinocchio in Outer Space (1965),1883,The Adventures of Pinocchio,Carlo Collodi,6059070.0,1965,Pinocchio in Outer Space,Pinocchio in Outer Space,,1965,6.2,196,,"https://m.media-amazon.com/images/M/MV5BMTIxMDM5MzY1OV5BMl5BanBnXkFtZTcwNDAwMTQyMQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","['Belgium', 'USA']",['English'],"['Peter Lazer', 'Arnold Stang', 'Jess Cain', 'Conrad Jameson', 'Mavis Mims', 'Ray Owens', 'Minerva Pious', 'Norman Rose']","['Animation', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",All the BELOVED characters of the WORLD'S MOST BELOVED STORIES!,"Pinocchio must prove himself as a real boy when he takes off to Mars with Nurtle in the capture of Astro, a flying killer space whale.",['Ray Goossens'],71 min,https://www.imdb.com/title/tt0186449/
44,44,"The Adventures of Pinocchio (1883), Carlo Collodi",The Adventures of Pinocchio (1984),1883,The Adventures of Pinocchio,Carlo Collodi,6059070.0,1984,The Adventures of Pinocchio,The Adventures of Pinocchio,Not Rated,1984,5.2,68,,"https://m.media-amazon.com/images/M/MV5BMjAyNzE4NDM3M15BMl5BanBnXkFtZTcwMzI3NjAzMQ@@._V1_UY268_CR2,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Danielle Romeo', 'Lacoya Newsome', 'Cindy Kozacik', 'Tony Roscia', 'Pearl Terry', 'David Scott']","['Animation', 'Family']","A timeless and beautiful, fully animated feature length classic.",,"['Ippei Kuri', 'Jim Terry']",98 min,https://www.imdb.com/title/tt0086857/
45,45,"The Adventures of Pinocchio (1883), Carlo Collodi",Pinocchio and the Emperor of the Night (1987),1883,The Adventures of Pinocchio,Carlo Collodi,6059070.0,1987,Pinocchio and the Emperor of the Night,Pinocchio and the Emperor of the Night,G,1987,6.8,457,,"https://m.media-amazon.com/images/M/MV5BZDZkMzYyYWMtZWY5MC00ZGU2LThlM2YtODQ0MjM1MDcxMGRmXkEyXkFqcGdeQXVyNjgxNTAwNjQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Edward Asner', 'Tom Bosley', 'Lana Beeson', 'Linda Gary', 'Jonathan Harris', 'James Earl Jones', 'Rickie Lee Jones', 'Don Knotts', 'Frank Welker', 'William Windom', 'Scott Grimes', 'Linda Gray', 'Liza Minnelli']","['Animation', 'Adventure', 'Family', 'Fantasy']",Adventure. Excitement. Fantasy. One boy has a nose for it all!,"Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so is the evil Scalawag and the Emperor of the Night.",['Hal Sutherland'],87 min,https://www.imdb.com/title/tt0093743/
48,48,"The Adventures of Pinocchio (1883), Carlo Collodi",Pinocchio's Revenge (1996),1883,The Adventures of Pinocchio,Carlo Collodi,6059070.0,1996,Pinocchio's Revenge,Pinocchio's Revenge,R,1996,4.1,"1,819",,"https://m.media-amazon.com/images/M/MV5BNGY4MGJlZjgtNjRhNC00MDlmLThiMDctZjMxYmI1ZGU1ZjFjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Candace McKenzie', 'Lewis Van Bergen', 'Ivan Gueron', 'Thomas Wagner', 'Janis Chow', 'Larry Cedar', 'Janet MacLachlan', 'Rosalind Allen', 'Brittany Alyse Smith', 'Ron Canada', 'Sarah Kaite Coughlan', 'Tara Hartman', 'Danielle Keaton', 'Carianne Goldsmith', 'José Rey']","['Fantasy', 'Horror']",Evil comes with strings attached,"Defense attorney Jennifer Garrick acquires a Pinocchio puppet from a condemned serial killer. Her pre-teen daughter, Zoe, mistakes the puppet as a birthday present and grows really attached...",['Kevin Tenney'],96 min,https://www.imdb.com/title/tt0117342/
49,49,"The Adventures of Pinocchio (1883), Carlo Collodi",The Adventures of Pinocchio (1996),1883,The Adventures of Pinocchio,Carlo Collodi,6059070.0,1996,The Adventures of Pinocchio,The Adventures of Pinocchio,G,1996,5.3,"4,681",,"https://m.media-amazon.com/images/M/MV5BZjc2MTg0M2UtZmIxZS00ZGRmLTg1ZDMtMzdjMTVjZGE2NTI0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['Czech Republic', 'UK', 'France', 'Germany', 'USA']",['English'],"['Martin Landau', 'Jonathan Taylor Thomas', 'Geneviève Bujold', 'Udo Kier', 'Bebe Neuwirth', 'Rob Schneider', 'Corey Carrier', 'Marcello Magni', 'Dawn French', 'Richard Claxton', 'Griff Rhys Jones', 'John Sessions', 'Jean-Claude Drouot', 'Jean-Claude Dreyfus', 'Teco Celio']","['Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']",The classic tale comes to life.,"One of puppet-maker Geppetto's creations comes magically to life. This puppet, Pinocchio, has one major desire and that is to become a real boy someday. In order to accomplish this goal he ...",['Steve Barron'],90 min,https://www.imdb.com/title/tt0115472/
51,51,"The Adventures of Pinocchio (1883), Carlo Collodi",A.I. Artificial Intelligence (2001),1883,The Adventures of Pinocchio,Carlo Collodi,6059070.0,2001,A.I. Artificial Intelligence,A.I. Artificial Intelligence,PG-13,2001,7.1,"269,797",65,"https://m.media-amazon.com/images/M/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Haley Joel Osment', ""Frances O'Connor"", 'Sam Robards', 'Jake Thomas', 'Jude Law', 'William Hurt', 'Ken Leung', 'Clark Gregg', 'Kevin Sussman', 'Tom Gallop', 'Eugene Osment', 'April Grace', 'Matt Winston', 'Sabrina Grdevich', 'Theo Greenly']","['Adventure', 'Drama', 'Sci-Fi']","David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.","A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",['Steven Spielberg'],146 min,https://www.imdb.com/title/tt0212720/
59,59,"The Adventures of Sherlock Holmes (1891–1892) (series), (1892) (novel), Arthur Conan Doyle",The Adventures of Sherlock Holmes (1939),1891,The Adventures of Sherlock Holmes,(1892) (novel,3590.0,1939,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,Approved,1939,7.5,"5,542",,"https://m.media-amazon.com/images/M/MV5BOWJiMjM5ZjktM2IzNC00Y2ZlLWJkNzQtZmViMzQ5NWI1NWMwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Basil Rathbone', 'Nigel Bruce', 'Ida Lupino', 'Alan Marshal', 'Terry Kilburn', 'George Zucco', 'Henry Stephenson', 'E.E. Clive', 'Arthur Hohl', 'May Beatty', 'Peter Willes', 'Mary Gordon', 'Holmes Herbert', 'George Regas', 'Mary Forbes']","['Crime', 'Mystery', 'Thriller']",The Struggle of Super-Minds in the Crime of the Century!,"The master sleuth hunts his archenemy, Professor Moriarty, who is planning the crime of the century.",['Alfred L. Werker'],85 min,https://www.imdb.com/title/tt0031022/
63,63,"The Adventures of Tom Sawyer (1876), Mark Twain",Tom Sawyer (1917),1876,The Adventures of Tom Sawyer,Mark Twain,24583.0,1917,Tom Sawyer,Tom Sawyer,Unrated,1917,6.3,123,,"https://m.media-amazon.com/images/M/MV5BZThhYTU4NjMtMjQ4ZC00ZjE2LWI0MjMtMzdiZTU3OWE0MmI0XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Jack Pickford', 'George Hackathorne', 'Alice Marvin', 'Edythe Chapman', 'Robert Gordon', 'Antrim Short', 'Clara Horton', 'Helen Gilmore', 'Carl Goetz']","['Adventure', 'Comedy', 'Drama']",,"Tom Sawyer, a young Missouri lad, finds fun and adventure with his pals Joe Harper and Huckleberry Finn, running away to hide out on Jackson's Island and pretending to be Mississippi River ...",['William Desmond Taylor'],59 min,https://www.imdb.com/title/tt0008687/
