,Unnamed: 0,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title,title,rating,year,users_rating,votes,metascore,img_url,countries,languages,actors,genre,tagline,description,directors,runtime,imdb_url
328,328,"La Bête humaine (1890), Émile Zola",Human Desire (1954),1890,La Bête humaine,Émile Zola,28417.0,1954,Human Desire,Human Desire,Not Rated,1954,7.2,"3,249",,"https://m.media-amazon.com/images/M/MV5BMDBmZWRhMWEtY2Y2Zi00YWQzLTkyZGQtZTVmY2Y3OGY1M2M5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Glenn Ford', 'Gloria Grahame', 'Broderick Crawford', 'Edgar Buchanan', 'Kathleen Case', 'Peggy Maley', 'Diane DeLaire', 'Grandon Rhodes']","['Drama', 'Film-Noir', 'Romance']",She was born to be bad...to be kissed...to make trouble!,A Korean War vet returns to his job as a railroad engineer and becomes involved in an affair with a co-worker's wife following a murder on a train where they meet.,['Fritz Lang'],91 min,https://www.imdb.com/title/tt0047101/
331,331,"The Betsy (1971), Harold Robbins",The Betsy (1978),1971,The Betsy,Harold Robbins,56776.0,1978,The Betsy,The Betsy,R,1978,5.1,"1,291",,"https://m.media-amazon.com/images/M/MV5BOTMzM2RhNGItMTkzNy00M2U1LTg2YjgtNjEzZTJmMzNjZGY4XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Laurence Olivier', 'Robert Duvall', 'Katharine Ross', 'Tommy Lee Jones', 'Jane Alexander', 'Lesley-Anne Down', 'Joseph Wiseman', 'Kathleen Beller', 'Edward Herrmann', 'Paul Rudd', 'Roy Poole', 'Richard Venture', 'Titos Vandis', 'Clifford David', 'Inga Swenson']",['Drama'],The Harold Robbins people. What you dream...they do!,"The aging, retired founder of an auto giant comes out of retirement to try to develop a safe, fuel-efficient car.",['Daniel Petrie'],125 min,https://www.imdb.com/title/tt0077228/
332,332,"Beyond the Forest: The Story of a Man and Woman Destroyed by Love (1948), Stuart D. Engstrand",Beyond the Forest (1949),1948,Beyond the Forest: The Story of a Man and Woman Destroyed by Love,Stuart D. Engstrand,8698603.0,1949,Beyond the Forest,Beyond the Forest,Approved,1949,7.2,"1,902",,"https://m.media-amazon.com/images/M/MV5BNDc5YmRhZWItNjY4My00ZjFmLWEwZDQtMDRhNjBmNjEyM2ViXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Bette Davis', 'Joseph Cotten', 'David Brian', 'Ruth Roman', 'Minor Watson', 'Dona Drake', 'Regis Toomey', 'Sarah Selby']","['Drama', 'Film-Noir', 'Romance', 'Thriller']",New Warner Bros. Dramatic Smash!,Rosa Moline is bored with life in a small town. She loves Chicago industrialist Neil Latimer who has a hunting lodge nearby. Rosa squeezes her husband's patients to pay their bills so she ...,['King Vidor'],97 min,https://www.imdb.com/title/tt0041172/
339,339,"The BFG (1982), Roald Dahl",The BFG (2016),1982,The BFG,Roald Dahl,6319.0,2016,The BFG,The BFG,PG,2016,6.4,"66,703",66,"https://m.media-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['USA', 'India']",['English'],"['Mark Rylance', 'Ruby Barnhill', 'Penelope Wilton', 'Jemaine Clement', 'Rebecca Hall', 'Rafe Spall', 'Bill Hader', 'Ólafur Darri Ólafsson', 'Adam Godley', 'Michael Adamthwaite', 'Daniel Bacon', 'Jonathan Holmes', 'Chris Gibbs', 'Paul Moniz de Sa', 'Marilyn Norry']","['Adventure', 'Family', 'Fantasy']",The world is more giant than you can imagine.,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",['Steven Spielberg'],117 min,https://www.imdb.com/title/tt3691740/
340,340,"Bhowani Junction (1954), John Masters",Bhowani Junction (1956),1954,Bhowani Junction,John Masters,2573025.0,1956,Bhowani Junction,Bhowani Junction,Approved,1956,6.4,"1,468",,"https://m.media-amazon.com/images/M/MV5BOWI0OWYzNmEtOTZkZi00NzA4LWE1MjEtNTRiMmUxYzRlN2U1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['USA', 'UK']",['English'],"['Ava Gardner', 'Stewart Granger', 'Bill Travers', 'Abraham Sofaer', 'Francis Matthews', 'Marne Maitland', 'Peter Illing', 'Edward Chapman', 'Freda Jackson', 'Lionel Jeffries', 'Alan Tilvern']","['Adventure', 'Drama', 'History', 'Romance']",A Flaming Love Story On A Background Of Turmoil And Revolt!,Anglo-Indian Victoria Jones seeks her true identity amid the chaos of the British withdrawal from India.,['George Cukor'],110 min,https://www.imdb.com/title/tt0049007/
341,341,"Bid Time Return (1975), Richard Matheson",Somewhere in Time (1980),1975,Bid Time Return,Richard Matheson,882028.0,1980,Somewhere in Time,Somewhere in Time,PG,1980,7.3,"23,893",29,"https://m.media-amazon.com/images/M/MV5BOTBhZWNlNTgtOWQwYi00N2YwLTkwZjItMjFhOGRmYzU4NDhmXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UY268_CR2,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Christopher Reeve', 'Jane Seymour', 'Christopher Plummer', 'Teresa Wright', 'Bill Erwin', 'George Voskovec', 'Susan French', 'John Alvin', 'Eddra Gale', 'Audrey Bennett', 'William H. Macy', 'Laurence Coven', 'Susan Bugg', 'Christy Michaels', 'Ali Marie Matheson']","['Drama', 'Fantasy', 'Romance']",Beyond fantasy. Beyond obsession. Beyond time itself...  he will find her.,A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.,['Jeannot Szwarc'],103 min,https://www.imdb.com/title/tt0081534/
343,343,"The Big Bounce (1966) (written) (1969) (published), Elmore Leonard",The Big Bounce (1969),1966,The Big Bounce,Elmore Leonard,313929.0,1969,The Big Bounce,The Big Bounce,R,1969,5.4,321,,"https://m.media-amazon.com/images/M/MV5BMTIwMjY1ODY2OV5BMl5BanBnXkFtZTcwODY3MTAwMQ@@._V1_UY268_CR2,0,182,268_AL__QL50.jpg",['USA'],['English'],"[""Ryan O'Neal"", 'Leigh Taylor-Young', 'Van Heflin', 'Lee Grant', 'James Daly', 'Robert Webber', 'Cindy Eilbacher', 'Noam Pitlik', 'Victor Paul', ""Kevin O'Neal"", 'Charles Cooper', 'Paul Sorensen', 'Phyllis Davis']",['Drama'],Nancy was beautiful...but not very pretty!,"A Vietnam veteran and ex-con is persuaded by a shady woman to rob a $50,000 payroll account on a California produce farm. But who is playing who?",['Alex March'],102 min,https://www.imdb.com/title/tt0064087/
344,344,"The Big Bounce (1966) (written) (1969) (published), Elmore Leonard",The Big Bounce (2004),1966,The Big Bounce,Elmore Leonard,313929.0,2004,The Big Bounce,The Big Bounce,PG-13,2004,4.9,"16,926",42,"https://m.media-amazon.com/images/M/MV5BMTU5NDM5ODEyM15BMl5BanBnXkFtZTYwMTcyMTY3._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Owen Wilson', 'Butch Helemano', 'Charlie Sheen', 'Vinnie Jones', 'Gregory Sporleder', 'Terry Ahue', 'Pete Johnson', 'Mike Renfro', 'Tony Dorsett', 'Brian L. Keaulana', 'Morgan Freeman', 'Willie Nelson', 'Andrew Wilson', 'Sara Foster', 'Gary Sinise']","['Comedy', 'Crime']",Another crime wave from the author of Get Shorty and Out of Sight.,"A small-time con artist and a Hawaiian real estate developer's mischevious, enterprising mistress team up for a potential $200,000 score.",['George Armitage'],88 min,https://www.imdb.com/title/tt0315824/
345,345,"The Big Clock (1946), Kenneth Fearing",The Big Clock (1948),1946,The Big Clock,Kenneth Fearing,166912.0,1948,The Big Clock,The Big Clock,Approved,1948,7.7,"6,699",,"https://m.media-amazon.com/images/M/MV5BYjM0ODQ2N2ItNDRmMC00MjZkLWI1NmUtN2U5NTI4MGEzMmE5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Ray Milland', 'Charles Laughton', ""Maureen O'Sullivan"", 'George Macready', 'Rita Johnson', 'Elsa Lanchester', 'Harold Vermilyea', 'Dan Tobin', 'Harry Morgan', 'Richard Webb', 'Elaine Riley', 'Luis Van Rooten', 'Lloyd Corrigan', 'Frank Orth', 'Margaret Field']","['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Thriller']",The strangest and most savage manhunt in history!,"After murdering someone, a magazine tycoon tries to frame an unknown, innocent man of the murder instead, while the innocent man tries to solve the murder himself.",['John Farrow'],95 min,https://www.imdb.com/title/tt0040160/
346,346,"The Big Clock (1946), Kenneth Fearing",No Way Out (1987),1946,The Big Clock,Kenneth Fearing,166912.0,1987,No Way Out,No Way Out,R,1987,7.1,"31,088",77,"https://m.media-amazon.com/images/M/MV5BMzliYmFjZmYtMTQ4OS00MmM1LWI2NDItYWNkMTBhZWY2M2QwL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Russian']","['Kevin Costner', 'Gene Hackman', 'Sean Young', 'Will Patton', 'Howard Duff', 'George Dzundza', 'Jason Bernard', 'Iman', 'Fred Dalton Thompson', 'Leon Russom', 'Dennis Burkley', 'Marshall Bell', 'Chris D.', 'Michael Shillo', 'Nicholas Worth']","['Action', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",Don't mess with people who have other people,A coverup and witchhunt occur after a politician accidentally kills his mistress.,['Roger Donaldson'],114 min,https://www.imdb.com/title/tt0093640/
