,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title
2225,"Pollyanna (1913), Eleanor H. Porter",Pollyanna (2003) (TV),1913,Pollyanna,Eleanor H. Porter,1000751,2003,Pollyanna
2226,"Le Pont de la Rivière Kwaï (1952), Pierre Boulle",The Bridge on the River Kwai (1957),1952,Le Pont de la Rivière Kwaï,Pierre Boulle,13644920,1957,The Bridge on the River Kwai
2227,"Le Pont de la Rivière Kwaï (1952), Pierre Boulle",* Return from the River Kwai (1988),1952,Le Pont de la Rivière Kwaï,Pierre Boulle,13644920,1988,* Return from the River Kwai
2228,"Poodle Springs (1959–1988) (written), (1989) (published), Raymond Chandler and Robert B. Parker",Poodle Springs (1998) (TV),1959,Poodle Springs,(1989) (published,247060,1998,Poodle Springs
2229,"The Pope of Greenwich Village (1979), Vincent Patrick",The Pope of Greenwich Village (1984),1979,The Pope of Greenwich Village,Vincent Patrick,1471786,1984,The Pope of Greenwich Village
2230,"Popiół i diament (Ashes and Diamonds) (1948), Jerzy Andrzejewski",Popiół i diament (Ashes and Diamonds) (1958),1948,Popiół i diament,Jerzy Andrzejewski,,1958,Popiół i diament
2231,"Portnoy's Complaint (1969), Philip Roth",Portnoy's Complaint (1972),1969,Portnoy's Complaint,Philip Roth,43945,1972,Portnoy's Complaint
2232,"Portrait of Jennie (1940), Robert Nathan",Portrait of Jennie (1948),1940,Portrait of Jennie,Robert Nathan,1209527,1948,Portrait of Jennie
2233,"The Poseidon Adventure (1972), Paul Gallico",The Poseidon Adventure (1972),1972,The Poseidon Adventure,Paul Gallico,597251,1972,The Poseidon Adventure
2234,"The Poseidon Adventure (1972), Paul Gallico",* Beyond the Poseidon Adventure (1979),1972,The Poseidon Adventure,Paul Gallico,597251,1979,* Beyond the Poseidon Adventure
2235,"The Poseidon Adventure (1972), Paul Gallico",The Poseidon Adventure (2005),1972,The Poseidon Adventure,Paul Gallico,597251,2005,The Poseidon Adventure
2236,"The Poseidon Adventure (1972), Paul Gallico",Poseidon (2006),1972,The Poseidon Adventure,Paul Gallico,597251,2006,Poseidon
