,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title
2109,"Ordinary People (1976), Judith Guest",Ordinary People (1980),1976,Ordinary People,Judith Guest,160251,1980,Ordinary People
2110,"Orlando: A Biography (1928), Virginia Woolf",Orlando (1992),1928,Orlando: A Biography,Virginia Woolf,10728152,1992,Orlando
2111,"The Osterman Weekend (1972), Robert Ludlum",The Osterman Weekend (1983),1972,The Osterman Weekend,Robert Ludlum,356248,1983,The Osterman Weekend
2112,"The Other Boleyn Girl (2001), Philippa Gregory",The Other Boleyn Girl (2003) (TV),2001,The Other Boleyn Girl,Philippa Gregory,37470,2003,The Other Boleyn Girl
2113,"The Other Boleyn Girl (2001), Philippa Gregory",The Other Boleyn Girl (2008),2001,The Other Boleyn Girl,Philippa Gregory,37470,2008,The Other Boleyn Girl
2114,"The Other One (1955), Catherine Turney",Back from the Dead (1957),1955,The Other One,Catherine Turney,53362517,1957,Back from the Dead
2115,"The Other Side of Midnight (1973), Sidney Sheldon",The Other Side of Midnight (1977),1973,The Other Side of Midnight,Sidney Sheldon,136167,1977,The Other Side of Midnight
2116,"Our Girl Friday (1951), Ernest K. Gann",Our Girl Friday (1953) (a. k. a. The Adventures of Sadie),1951,Our Girl Friday,Ernest K. Gann,,1953,Our Girl Friday
2117,"Our Man in Havana (1958), Graham Greene",Our Man in Havana (1959),1958,Our Man in Havana,Graham Greene,133394,1959,Our Man in Havana
2118,"Out of Sight (1996), Elmore Leonard",Out of Sight (1998),1996,Out of Sight,Elmore Leonard,288962,1998,Out of Sight
2119,"An Outcast of the Islands (1896), Joseph Conrad",An Outcast of the Islands (1952),1896,An Outcast of the Islands,Joseph Conrad,822461,1952,An Outcast of the Islands
2120,"The Outsiders (1967), S. E. Hinton",The Outsiders (1983),1967,The Outsiders,S. E. Hinton,231804,1983,The Outsiders
2121,"Over the River (1933), John Galsworthy",One More River (1934),1933,Over the River,John Galsworthy,2097611,1934,One More River
2122,"The Ox-Bow Incident (1940), Walter Van Tilburg Clark",The Ox-Bow Incident (1943),1940,The Ox-Bow Incident,Walter Van Tilburg Clark,46212,1943,The Ox-Bow Incident
2123,"A Painted Devil (1966), Thomas P. Cullinan",The Beguiled (1971),1966,A Painted Devil,Thomas P. Cullinan,,1971,The Beguiled
2124,"A Painted House (2001), John Grisham",A Painted House (2003) (TV),2001,A Painted House,John Grisham,5360,2003,A Painted House
2125,"The Painted Veil (1925), W. Somerset Maugham",The Painted Veil (1934),1925,The Painted Veil,W. Somerset Maugham,99664,1934,The Painted Veil
2126,"The Painted Veil (1925), W. Somerset Maugham",The Seventh Sin (1957),1925,The Painted Veil,W. Somerset Maugham,99664,1957,The Seventh Sin
2127,"The Painted Veil (1925), W. Somerset Maugham",The Painted Veil (2006),1925,The Painted Veil,W. Somerset Maugham,99664,2006,The Painted Veil
2128,"Pan Wolodyjowski (Fire in the Steppe) (1888), Henryk Sienkiewicz",Colonel Wolodyjowski (1968),1888,Pan Wolodyjowski,Henryk Sienkiewicz,6306854,1968,Colonel Wolodyjowski
2129,"Parineeta (1914), Sharat Chandra Chattopadhyay",Parineeta (1942),1914,Parineeta,Sharat Chandra Chattopadhyay,258529,1942,Parineeta
2130,"Parineeta (1914), Sharat Chandra Chattopadhyay",Parineeta (1953),1914,Parineeta,Sharat Chandra Chattopadhyay,258529,1953,Parineeta
2131,"Parineeta (1914), Sharat Chandra Chattopadhyay",Parineeta (1969),1914,Parineeta,Sharat Chandra Chattopadhyay,258529,1969,Parineeta
2132,"Parineeta (1914), Sharat Chandra Chattopadhyay",Parineeta (2005),1914,Parineeta,Sharat Chandra Chattopadhyay,258529,2005,Parineeta
2133,"Paris Blues (1957), Harold Flender",Paris Blues (1961),1957,Paris Blues,Harold Flender,13626799,1961,Paris Blues
2134,"Les Particules Élémentaires (1998) (a.k.a. Atomised), Michel Houellebecq",The Elementary Particles (2006),1998,Les Particules Élémentaires,Michel Houellebecq,58314,2006,The Elementary Particles
2135,"Pasó por aquí (Once in the Saddle) (1947), Eugene Manlove Rhodes",Four Faces West (1948),1947,Pasó por aquí,Eugene Manlove Rhodes,3680174,1948,Four Faces West
2136,"A Passage to India (1924), E. M. Forster",A Passage to India (1984),1924,A Passage to India,E. M. Forster,45195,1984,A Passage to India
2137,"Patriot Games (1987), Tom Clancy",Patriot Games (1992),1987,Patriot Games,Tom Clancy,32682,1992,Patriot Games
2138,"The Peacock Spring (1975), Rumer Godden",The Peacock Spring (1996) (TV),1975,The Peacock Spring,Rumer Godden,80978,1996,The Peacock Spring
